단어,발음,주요뜻,메모,암기여부,저장날짜
abandon,əbǽndən,버리다|포기하다|유기하다|폐기하다|떠나다,,미암기,2012-12-11 03:19:25
abase,əbéis,떨어뜨리다,,미암기,2012-12-11 03:19:25
abash,əbǽʃ,당황하게 하다|부끄럽게 하다|당황시키다,,미암기,2012-12-11 03:19:25
abate,əbéit,완화시키다|누그러지다|나아지다|수그러들다|약해지다,,미암기,2012-12-11 03:19:25
abbreviate,əbríːvièit,줄이다|줄여 쓰다|요약하다,,미암기,2012-12-11 03:19:25
abdicate,ǽbdəkèit,포기하다|퇴위하다|양위하다|물러나다,,미암기,2012-12-11 03:19:25
aberrant,əbérənt,정도를 벗어난|엉뚱한|괴짜,,미암기,2012-12-11 03:19:25
abet,əbét,부추기다|선동하다|교사하다,,미암기,2012-12-11 03:19:25
abhor,æbhɔ́ːr,싫어하다|혐오하다|증오하다,,미암기,2012-12-11 03:19:25
abide,əbáid,준수하다|지키다|따르다|살다|참다,,미암기,2012-12-11 03:19:25
abject,ǽbdʒekt,비열한|비참한|천한,,미암기,2012-12-11 03:19:25
abjure,æbdʒúər,…을 버리다|저버리다|부인하다|회피하다|취소하다,,미암기,2012-12-11 03:19:25
abode,əbóud,주소|체류|거처,,미암기,2012-12-11 03:19:25
aboveboard,əbəˈvbɔˌrd,분명히|까놓고|공명하게,,미암기,2012-12-11 03:19:25
abrade,əbréid,신경질나게 하다|닳다|벗겨지다,,미암기,2012-12-11 03:19:25
abrasion,əbréiʒən,마모|침식|찰과상,,미암기,2012-12-11 03:19:25
abridge,əbrídʒ,요약하다|단축하다|줄이다,,미암기,2012-12-11 03:19:25
abrogate,ǽbrəgèit,폐기하다|폐지하다|무효화하다,,미암기,2012-12-11 03:19:25
abruptly,əbrΛptli,갑자기|돌연히|불쑥|손 쓸 틈도 없이|예고없이,,미암기,2012-12-11 03:19:25
abscond,æbskάnd,종적을 감추다|몰래 도망치다|몰래 도주하다,,미암기,2012-12-11 03:19:25
abstain,"æbstéin, əbstéin",삼가다|절제하다|끊다,,미암기,2012-12-11 03:19:25
abstemious,"æbstíːmiəs, əbstíːmiəs",절제하는|검소한|금욕적인,,미암기,2012-12-11 03:19:25
abstract,æbstrǽkt,추상적인|초록|요약하다,,미암기,2012-12-11 03:19:25
abstruse,æbstrúːs,난해한|심오한,,미암기,2012-12-11 03:19:25
absurdity,"æbsə́ːrdəti, æbzə́ːrdəti",불합리|부조리|어리석은 일,,미암기,2012-12-11 03:19:25
abundant,əbΛndənt,풍부한|많은|과잉,,미암기,2012-12-11 03:19:25
abusive,əbjúːsiv,학대하는|욕설을 퍼붓는|폭력적인|남용하는|독설적인,,미암기,2012-12-11 03:19:25
accelerate,"æksélərèit, əksélərèit",가속하다|촉진시키다|성장|빨라지다|증가,,미암기,2012-12-11 03:19:25
accessible,"æksésəbl, əksésəbl",접근할 수 있는|사용하기 쉬운|이용 가능한,,미암기,2012-12-11 03:19:25
accolade,ǽkəlèid,수상|포상|영예|찬사,,미암기,2012-12-11 03:19:25
accost,əkɔ́ːst,말을 걸다|인사하다|상대방에게 다가가서 말을 걸다,,미암기,2012-12-11 03:19:25
accrete,əkríːt,함께 커지다|공생하다|일체가 되다,,미암기,2012-12-11 03:19:25
accuracy,ǽkjurəsi,정확도|정확|면밀,,미암기,2012-12-11 03:19:25
accuse,əkjúːz,비난하다|혐의를 받다|고소하다|피의자,,미암기,2012-12-11 03:19:25
acerbic,əsə́ːrbik,신랄한|과격한|매서운,,미암기,2012-12-11 03:19:25
ache,eik,아프다|통증|…하고 싶어 못 견디다,,미암기,2012-12-11 03:19:25
achromatic,ӕkrəmǽtik,무색의|비염색성의|색지움의,,미암기,2012-12-11 03:19:25
acidic,əsídik,산성 물질을 포함한|산의|산성의,,미암기,2012-12-11 03:19:25
acme,ǽkmi,절정|극치|전성기,,미암기,2012-12-11 03:19:25
acquiesce,ӕkwiés,묵인하다|묵묵히 따르다|동의하다,,미암기,2012-12-11 03:19:25
acquisition,ӕkwizíʃən,인수|습득|획득|취득|향상,,미암기,2012-12-11 03:19:25
acrid,ǽkrid,신랄한|매운|쓴,,미암기,2012-12-11 03:19:25
acrimonious,ӕkrəmóuniəs,신랄한|매서운|호된,,미암기,2012-12-11 03:19:25
acute,əkjúːt,급성의|심각한|절실한|예리한|확실히,,미암기,2012-12-11 03:19:25
adamant,ǽdəmənt,단호한|비길 데 없이 견고한 것|매우 단단한,,미암기,2012-12-11 03:19:25
addict,ǽdikt,중독되다|중독자|빠지다,,미암기,2012-12-11 03:19:25
adept,ədépt｜ǽdept,숙련된|숙련자|숙달된,,미암기,2012-12-11 03:19:25
adhere,"ædhíər, ədhíər",고수하다|들러붙다|달라붙다,,미암기,2012-12-11 03:19:11
adherent,"ædhíːərənt, ədhíːərənt",지지자|접착성의|여당,,미암기,2012-12-11 03:19:11
adjust,ədʒΛst,조정되다|적응하다|감안하다|조절하다|맞추다,,미암기,2012-12-11 03:19:11
admirable,ǽdmərəbl,훌륭한|감탄할만한|칭찬할 만한,,미암기,2012-12-11 03:19:11
admonish,ædmάniʃ,훈계하다|경고하다|혼내다,,미암기,2012-12-11 03:19:11
admonishment,ædmάniʃmənt,훈계|설득|경고,,미암기,2012-12-11 03:19:11
adoration,ӕdəréiʃən,숭배|동경|기도,,미암기,2012-12-11 03:19:11
adore,ədɔ́ːr,아주 좋아하다|숭배하다|흠모하다|존경하다,,미암기,2012-12-11 03:19:11
adorn,ədɔ́ːrn,장식하다|꾸미다|…의 아름다움을 돋보이게 하다,,미암기,2012-12-11 03:19:11
adornment,ədɔ́ːrnmənt,장식품|장식|꾸미기,,미암기,2012-12-11 03:19:11
adroit,ədrɔ́it,능숙한|교묘한|솜씨있는,,미암기,2012-12-11 03:19:11
adroitness,ədrɔ́itnis,기민함|능숙함|노련함,,미암기,2012-12-11 03:19:11
adulate,ǽdʒəlèit,…에게 아첨하다|알랑거리다|비위 맞추다,,미암기,2012-12-11 03:19:11
adulterate,ədΛltərèit,불순물을 섞은|…의 품질을 떨어뜨리다|섞음질하다,,미암기,2012-12-11 03:19:11
adventurous,ædvénʧərəs,모험을 좋아하는|대담한|위험이 많은,,미암기,2012-12-11 03:19:11
advertent,ædvə́ːrtənt,조심하는|주의 깊은,,미암기,2012-12-11 03:19:11
advocate,ǽdvəkèit,옹호하다|주장하다|대변자|변호사,,미암기,2012-12-11 03:19:11
aerate,έərèit,…에 공기를 통하게 하다|…을 공기에 쐬다|통풍시키다,,미암기,2012-12-11 03:19:11
aesthete,ésθiːt,심미안이 있는 사람|심미가|예술 애호가,,미암기,2012-12-11 03:19:11
affability,ӕfəbíləti,상냥함|온화|부드러움,,미암기,2012-12-11 03:19:11
affiliate,əfílièit,계열사|자회사|이중|설립|소속,,미암기,2012-12-11 03:19:11
affinity,əfínəti,친화성|친|친밀감|애착|좋아함,,미암기,2012-12-11 03:19:11
affirm,əfə́ːrm,확인하다|확언하다|긍정하다,,미암기,2012-12-11 03:19:11
affliction,əflíkʃən,고통|고뇌|불행,,미암기,2012-12-11 03:19:11
affluent,ǽfluənt,부유한|유복한|풍부한,,미암기,2012-12-11 03:19:11
aggrandize,əgrǽndaiz,크게 하다|…을 증대하다|확대하다,,미암기,2012-12-11 03:19:11
aggravate,ǽgrəvèit,악화시키다|가중시키다|심화시키다|화나게 하다,,미암기,2012-12-11 03:19:11
aggrieve,əgríːv,괴롭히다|고통을 주다|억누르다,,미암기,2012-12-11 03:19:11
agitate,ǽdʒitèit,선동하다|흥분시키다|휘젓다,,미암기,2012-12-11 03:19:11
agitated,ǽdʒitèitid,기분이 동요하고 있는|세상의 관심을 모으고 있는|흔들리고 있는,,미암기,2012-12-11 03:19:11
agonize,ǽgənàiz,몹시 괴로워하다|몹시 괴롭히다|몸부림치다,,미암기,2012-12-11 03:19:11
agreeable,əgríːəbl,동의할 만한|쾌적한|상냥한|마음에 드는,,미암기,2012-12-11 03:19:11
aid,eid,지원|원조|도움|구호|보조,,미암기,2012-12-11 03:19:11
aimless,éimlis,목적 없는|목적이 없는|이렇다 할 주견이 없는,,미암기,2012-12-11 03:19:11
alacrity,əlǽkrəti,민활|민첩|활기,,미암기,2012-12-11 03:19:11
albinism,ǽlbənìzm,선천성 색소 결핍증|백화 현상|백피증,,미암기,2012-12-11 03:19:11
albino,ælbáinou,백피증에 걸린 사람|흰둥이|백변종,,미암기,2012-12-11 03:19:11
alert,ələ́ːrt,경계|주의하다|알림|집중하다|기민한,,미암기,2012-12-11 03:19:11
alibi,ǽləbài,현장 부재 증명|알리바이|변명하다,,미암기,2012-12-11 03:19:11
alienable,"éiljənəbl, -liən-",양도가능한|양도할 수 있는,,미암기,2012-12-11 03:19:11
align,əláin,일렬|관련|맞추다|제휴하다|일치,,미암기,2012-12-11 03:19:11
allay,əléi,완화하다|진정시키다|누그러뜨리다|가라앉히다|무마,,미암기,2012-12-11 03:19:11
allegiance,əlíːdʒəns,충성|충실,,미암기,2012-12-11 03:19:11
alleviate,əlíːvièit,경감하다|완화하다|덜다,,미암기,2012-12-11 03:19:11
allure,əlúər,유혹하다|매혹하다|꾀다,,미암기,2012-12-11 03:19:11
aloft,əlɔ́ːft,위에|높이|높은 곳에,,미암기,2012-12-11 03:19:11
aloof,əlúːf,냉담한|초연한|떨어져서,,미암기,2012-12-11 03:19:11
